n_cut,k_cut,sigma,energy,madelung,time,memory
7,24,3.0204081632653065e-11,-5.7188185071586825e-18,-1.7475645946338203,75.69390225410461,9.44140625
8,5,3.0204081632653065e-11,-6.091888662620392e-18,-1.8615678969214002,3.273862361907959,0.0
8,6,3.0204081632653065e-11,-6.091888662620343e-18,-1.8615678969213854,3.902735948562622,0.0
8,7,3.0204081632653065e-11,-5.758279846905956e-18,-1.7596232462788808,4.475077867507935,0.0
8,8,3.0204081632653065e-11,-5.758279846905964e-18,-1.7596232462788832,5.3254265785217285,0.0
8,9,3.0204081632653065e-11,-5.7216390352648665e-18,-1.7484264955754862,7.022073984146118,0.0
8,10,3.0204081632653065e-11,-5.7216390352650306e-18,-1.7484264955755362,8.415974617004395,0.0
8,11,3.0204081632653065e-11,-5.718953851279931e-18,-1.7476059532805566,12.818862199783325,0.11328125
8,12,3.0204081632653065e-11,-5.718953851280128e-18,-1.7476059532806167,11.415994882583618,0.2734375
8,13,3.0204081632653065e-11,-5.718822817456092e-18,-1.7475659117805589,14.102654457092285,0.30078125
8,14,3.0204081632653065e-11,-5.718822817455925e-18,-1.747565911780508,16.808234691619873,0.39453125
8,15,3.0204081632653065e-11,-5.718818597396955e-18,-1.7475646222089585,20.18222403526306,0.26953125
8,16,3.0204081632653065e-11,-5.718818597397214e-18,-1.7475646222090375,23.562263250350952,0.58203125
8,17,3.0204081632653065e-11,-5.71881850839083e-18,-1.7475645950103416,29.02864122390747,1.05078125
8,18,3.0204081632653065e-11,-5.718818508390985e-18,-1.747564595010389,32.68277859687805,2.46484375
8,19,3.0204081632653065e-11,-5.718818507168921e-18,-1.747564594636949,38.42497205734253,2.86328125
8,20,3.0204081632653065e-11,-5.7188185071692605e-18,-1.7475645946370526,43.92092442512512,4.1796875
8,21,3.0204081632653065e-11,-5.71881850715854e-18,-1.7475645946337768,49.58361053466797,5.82421875
8,22,3.0204081632653065e-11,-5.718818507158714e-18,-1.7475645946338298,56.59836792945862,6.5859375
8,23,3.0204081632653065e-11,-5.7188185071586825e-18,-1.7475645946338203,63.39320135116577,8.2109375
8,24,3.0204081632653065e-11,-5.7188185071586825e-18,-1.7475645946338203,70.84473991394043,9.7734375
9,5,3.0204081632653065e-11,-6.091888662620392e-18,-1.8615678969214002,4.086807012557983,6.4375
9,6,3.0204081632653065e-11,-6.091888662620343e-18,-1.8615678969213854,4.549821615219116,0.0
9,7,3.0204081632653065e-11,-5.758279846905956e-18,-1.7596232462788808,5.248214960098267,0.0
9,8,3.0204081632653065e-11,-5.758279846905964e-18,-1.7596232462788832,6.470262289047241,0.0
9,9,3.0204081632653065e-11,-5.7216390352648665e-18,-1.7484264955754862,7.872930288314819,0.0
9,10,3.0204081632653065e-11,-5.7216390352650306e-18,-1.7484264955755362,8.646554231643677,0.0
9,11,3.0204081632653065e-11,-5.718953851279931e-18,-1.7476059532805566,10.423290967941284,0.0
9,12,3.0204081632653065e-11,-5.718953851280128e-18,-1.7476059532806167,12.70438027381897,0.0
9,13,3.0204081632653065e-11,-5.718822817456092e-18,-1.7475659117805589,14.931618928909302,0.0
9,14,3.0204081632653065e-11,-5.718822817455925e-18,-1.747565911780508,17.993577241897583,0.0
9,15,3.0204081632653065e-11,-5.718818597396955e-18,-1.7475646222089585,21.8144588470459,0.0
9,16,3.0204081632653065e-11,-5.718818597397214e-18,-1.7475646222090375,24.97659921646118,0.63671875
9,17,3.0204081632653065e-11,-5.71881850839083e-18,-1.7475645950103416,28.633660078048706,1.28125
9,18,3.0204081632653065e-11,-5.718818508390985e-18,-1.747564595010389,34.017868518829346,2.6796875
9,19,3.0204081632653065e-11,-5.718818507168921e-18,-1.747564594636949,38.437029123306274,3.13671875
